inventory_id,prod_id,qty,color,size,weight,retail,cost_price
225,62,0,"",Small,0,0,0
245,66,0,White,Large,1,0,0
163,50,0,"",Medium,1,0,0
171,52,0,"",Small,0,0,0
162,50,0,"",Small,0,0,0
178,54,0,Blush,Medium,0,0,0
177,54,0,Blush,Small,0,0,0
149,48,0,Pink,Large,1,0,0
157,48,0,Grey,1XL,2,0,1.5
183,54,0,Mustard,Small,0,0,0
215,60,0,Ivory,Large,1,0,0
153,48,0,Grey,Small,0,0,0
211,59,0,"",Medium,0,0,0
213,60,0,Ivory,Small,0,0,0
165,51,0,Green,Small,0,0,0
156,48,0,Grey,XL,1,0,1.5
207,58,0,"",Small,0,0,0
154,48,0,Grey,Medium,1,0,0
170,51,0,Taupe,Large,1,0,0
187,54,0,Oatmeal,Medium,0,0,0
220,61,0,Black,Medium,0,0,0
191,54,0,Seafoam,Large,1,0,0
222,61,0,Blue,Small,0,0,0
148,48,0,Pink,Medium,1,0,0
168,51,0,Taupe,Small,0,0,0
150,48,0,Pink,XL,1,0,1.5
205,57,0,"",Medium,1,0,0
217,60,0,Olive,Medium,1,0,0
224,61,0,Blue,Large,1,0,0
208,58,0,"",Medium,1,0,0
151,48,0,Pink,1XL,2,0,1.5
200,55,0,"",Large,1,0,0
212,59,0,"",Large,1,0,0
193,54,0,Slate,Medium,0,0,0
155,48,0,Grey,Large,1,0,0
214,60,0,Ivory,Medium,1,0,0
152,48,0,Pink,2XL,2,0,1.5
182,54,0,Pink,Large,1,0,0
233,63,0,navy,large,1,0,0
244,66,0,White,Medium,0,0,0
196,54,0,Mauve,Medium,0,0,0
197,54,0,Mauve,Large,1,0,0
173,52,0,"",Large,0,0,0
232,63,0,navy,medium,1,0,0
172,52,0,"",Medium,0,0,0
230,63,0,ivory,large,1,0,0
210,59,0,"",Small,0,0,0
236,65,0,"",Large,1,0,0
188,54,0,Oatmeal,Large,1,0,0
181,54,0,Pink,Medium,0,0,0
203,56,0,"",Large,2,0,0
147,48,0,Pink,Small,0,0,0
190,54,0,Seafoam,Medium,0,0,0
241,66,0,Coral,Medium,0,0,0
179,54,0,Blush,Large,1,0,0
227,62,0,"",Large,1,0,0
199,55,0,"",Medium,0,0,0
195,54,0,Mauve,Small,0,0,0
189,54,0,Seafoam,Small,0,0,0
223,61,0,Blue,Medium,0,0,0
194,54,0,Slate,Large,1,0,0
158,48,0,Grey,2XL,2,0,1.5
186,54,0,Oatmeal,Small,0,0,0
243,66,0,White,Small,0,0,0
180,54,0,Pink,Small,0,0,0
192,54,0,Slate,Small,0,0,0
184,54,0,Mustard,Medium,0,0,0
242,66,0,Coral,Large,1,0,0
198,55,0,"",Small,0,0,0
167,51,0,Green,Large,1,0,0
234,65,0,"",Small,0,0,0
209,58,0,"",Large,1,0,0
216,60,0,Olive,Small,0,0,0
238,64,0,"",medium,0,0,0
218,60,0,Olive,Large,1,0,0
228,63,0,ivory,small,0,0,0
221,61,0,Black,Large,1,0,0
237,64,0,"",small,0,0,0
185,54,0,Mustard,Large,1,0,0
206,57,0,"",Large,1,0,0
219,61,0,Black,Small,0,0,0
164,50,0,"",Large,1,0,0
202,56,0,"",Medium,1,0,0
239,64,0,"",large,1,0,0
166,51,0,Green,Medium,0,0,0
226,62,0,"",Medium,0,0,0
201,56,0,"",Small,0,0,0
169,51,0,Taupe,Medium,0,0,0
235,65,0,"",Medium,1,0,0
204,57,0,"",Small,0,0,0
20449,2843,0,"",medium,0,0,0
340,87,0,Taupe,Large,0,0,0
254,68,0,"",Large,1,0,0
252,68,0,"",Small,0,0,0
251,67,0,"",2XL,0,0,0
259,70,0,black,medium,0,0,0
250,67,0,"",1XL,1,0,0
260,70,0,black,large,1,0,0
271,71,0,"",Medium,0,0,0
256,69,0,"",Medium,0,0,0
339,87,0,Taupe,Medium,0,0,0
331,85,0,Green,2XL,0,0,0
293,77,0,"",Large,0,0,0
268,70,0,red,medium,0,0,0
255,69,0,"",Small,0,0,0
258,70,0,black,small,0,0,0
289,76,0,"",1XL,0,0,0
272,71,0,"",Large,0,0,0
229,63,0,ivory,medium,1,0,0
306,81,0,"",XL/1XL,0,0,0
264,70,0,purple,small,0,0,0
330,85,0,Green,1XL,0,0,0
322,83,0,"",Large,1,0,0
320,83,0,"",Small,0,0,0
321,83,0,"",Medium,1,0,0
284,74,0,Slate,Large,1,0,0
